Bulgaria	DZZD "Consortium Innovative Capital"	Sofija, Bulgaria	http://www.en.tto-sofia.com	42,6932593742793,23,3317852020264	1	https://www.iasp.ws/our-members/directory/@145101	145101	Other	
Bulgaria	Sofia Tech Park	Sofia, Bulgaria	http://sofiatech.bg/en/	42.6575692,23.3815319	1	https://www.iasp.ws/our-members/directory/@149701	149701	Science Park	ICT & Communications
Bulgaria	Sofia University	Sofia, Bulgaria	http://www.uni-sofia.bg	42,6935386657715,23,3350448608398	1	https://www.iasp.ws/our-members/directory/@19072	19072	University / Higher Education Institution	
Canada	Bromont Science Park	Bromont, Canada	http://parcscientifiquebromont.com/en/	45,318962097168,-72,6468887329102	1	https://www.iasp.ws/our-members/directory/@323701	323701	Science Park	Electronics,Manufacturing and Automation Technologies,Materials,Micromachines and Nanotechnology,Semiconductor Science and Technology
Canada	Innovation Place Research Park	Regina, Canada	http://www.innovationplace.com	52,1406555175781,-106,625625610352	1	https://www.iasp.ws/our-members/directory/@6059	6059	Science Park	Agriculture and Forestry,Energy,Environment,Health & Pharmaceuticals,ICT & Communications
Canada	Parc Micro Sciences de Trois Rivières	Québec, Canada	http://www.idetr.com	46,3523292541504,-72,5379333496094	1	https://www.iasp.ws/our-members/directory/@317301	317301	Science Park	Biotechnology,Environment,Micromachines and Nanotechnology,Software Engineering
Canada	Quebec International	Québec, Canada	http://www.quebecinternational.ca	46.765766666666664,-71.29505925925923	1	https://www.iasp.ws/our-members/directory/@6062	6062	Science Park	Biotechnology,ICT & Communications,Optics
Canada	Sherbrooke Innopole	Sherbrooke, Canada	http://www.sherbrooke-innopole.com	45,448055267334,-71,8697967529297	1	https://www.iasp.ws/our-members/directory/@6252	6252	Science Park	Energy,Environment,Land Transportation,Mechanics, Subassemblies, Components,Micromachines and Nanotechnology
Canada	Technoparc Montréal	Montréal, Canada	http://www.technoparc.com	45.480196296296285,-73.76150370370368	1	https://www.iasp.ws/our-members/directory/@6063	6063	Science Park	Biotechnology,Chemistry and Chemicals,Computer Science and Hardwares,Energy,ICT & Communications,Off-Land Transportation
Canada	Technopole Saint-Hyacinthe-Science Park St-Hyacinthe	Saint-Hyacinthe, Canada	http://www.st-hyacinthetechnopole.qc.ca	45,6248054504395,-72,9477081298828	1	https://www.iasp.ws/our-members/directory/@6064	6064	Science Park	Agriculture and Forestry
China	Beijing NC Science and Technology Incubator	Beijing, China	http://www.theiuia.org	39.9854027,116.3139927	1	https://www.iasp.ws/our-members/directory/@344801	344801		Biotechnology,Environment,New Materials,Renewable Energies
China	Beijing Zhongguancun Software Park Development Co., Ltd	Beijing, China	http://www.zpark.com.cn	40,0364514,116,2870762	1	https://www.iasp.ws/our-members/directory/@6104	6104	Science Park	Services for Business and Industry,Software Engineering
China	Caohejing Hi-Tech Park	Shanghai, China	http://www.caohejing.com	31,1714878082275,121,401702880859	1	https://www.iasp.ws/our-members/directory/@5966	5966	Science Park	Biotechnology,Electronics,Materials,Optics,Software Engineering
China	Changping Science Park of Zhongguancun Science Park	Beijing, China	http://www.zgc-cp.gov.cn/	40,2168350219727,116,235618591309	1	https://www.iasp.ws/our-members/directory/@60901	60901	Science Park	Biotechnology,Energy
China	Chongqing TusPark Management	Chongqing, China	http://www.tuspark.com	29.51018888888889,106.45049629629625	1	https://www.iasp.ws/our-members/directory/@469385	469385	Science Park	Electronics,Renewable Energies
China	Guizhou China-Australia Property Development Company Ltd. (China West Technology Park)	Guiyang, China	http://www.cwtechpark.com	26,6225998,106,6444313	1	https://www.iasp.ws/our-members/directory/@6103	6103	Science Park	Computer Science and Hardwares,ICT & Communications,Software Engineering
China	Hong Kong Science and Technology Parks	Hong Kong, China	http://www.hkstp.org	22,4246476,114,2129333	1	https://www.iasp.ws/our-members/directory/@6107	6107	Science Park	Biotechnology,Computer Science and Hardwares,Electronics,Employee Education and Training,ICT & Communications
China	Leaguer Science Park	Foshan, China	http://www.tsinghua-fs.com	23,0878486633301,112,970848083496	1	https://www.iasp.ws/our-members/directory/@293001	293001	Science Park	Education,ICT & Communications,New Materials,Other Energy Science and Technology
China	Liuzhou High Technology Industrial Development Zone	Liuzhou City, China	http://www.lzgxq.com	24.34192962962961,109.44067407407408	1	https://www.iasp.ws/our-members/directory/@469301	469301	Science Park	
China	Luoyang National University Science Park	Luoyang, China	http://www.lyusp.com	34,6537017822266,112,392318725586	1	https://www.iasp.ws/our-members/directory/@108701	108701	Science Park	Computer Science and Hardwares,Manufacturing and Automation Technologies
China	Nicholas Brooke	Central, China		22,2833003997803,114,150001525879	1	https://www.iasp.ws/our-members/directory/@305701	305701	Person	
China	Qingyuan Tian An Smart City	Qingyuan City, China	http://www.ta-zg.com	23,6595001220703,113,056243896484	1	https://www.iasp.ws/our-members/directory/@417101	417101	Science Park	New Materials,Other Manufacturing and Automation Tech
China	Shanghai Development Park Association	Shanghai, China	http://www.sidp.org.cn	31,1714873,121,4017002	1	https://www.iasp.ws/our-members/directory/@6169	6169	Association	
China	Shanghai Information Service Park Association	Shanghai, China		31.222966666666657,121.39377037037036	1	https://www.iasp.ws/our-members/directory/@469502	469502	Association	
China	Shanghai Zizhu Science-based Industrial Park	Shanghai, China	http://www.zizhupark.com	31,0238454,121,4516849	1	https://www.iasp.ws/our-members/directory/@6109	6109	Science Park	Audiovisual,Biotechnology,Materials,Off-Land Transportation,Software Engineering
China	South China New Materials Innovation Park	Guangzhou, China	http://www.huaxinpark.com	23.1484088,113.4439191	1	https://www.iasp.ws/our-members/directory/@470790	470790	Science Park	Biotechnology,Electronics,Materials
China	Tianan Cyber Park	Shenzhen, China	http://www.tianan-cyber.com	22,5735721588135,114,083984375	1	https://www.iasp.ws/our-members/directory/@363601	363601	Science Park	Electronics,Renewable Energies
China	Tianjin International Science and Technology Association	Tianjin, China		39,1070556640625,117,193428039551	1	https://www.iasp.ws/our-members/directory/@379101	379101	Association	
China	Tsinghua University Science Park - TusPark	Beijing, China	http://en.tusholdings.com/	40,0006904602051,116,32884979248	1	https://www.iasp.ws/our-members/directory/@6112	6112	Science Park	Biotechnology,Energy,Environment,ICT & Communications,Software Engineering
